source_accession	asset_name	asset_id	source_group	release_tag	license_status	file_present	file_verified_hash	disposition	parse_error
15KLIB_2A3_0000	15KLIB_2A3_0000.rdat	421580585	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
15KLIB_DMS_0000	15KLIB_DMS_0000.rdat	421580587	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
15KREP_2A3_0000	15KREP_2A3_0000.rdat	421580584	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
15KREP_2A3_0001	15KREP_2A3_0001.rdat	421580586	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
15KREP_DMS_0000	15KREP_DMS_0000.rdat	421580588	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
15KREP_DMS_0001	15KREP_DMS_0001.rdat	421580811	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SFWJ_1M7_0001	16SFWJ_1M7_0001.rdat	421580813	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SFWJ_DMS_0001	16SFWJ_DMS_0001.rdat	421580816	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SFWJ_MCA_0000	16SFWJ_MCA_0000.rdat	421580819	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	D0XContractError: REACTIVITY:1 length does not match SEQPOS
16SFWJ_MCA_0001	16SFWJ_MCA_0001.rdat	421580828	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	D0XContractError: REACTIVITY:1 length does not match SEQPOS
16SFWJ_MCA_0002	16SFWJ_MCA_0002.rdat	421580831	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	D0XContractError: REACTIVITY:1 length does not match SEQPOS
16SFWJ_MCA_0003	16SFWJ_MCA_0003.rdat	421580832	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	D0XContractError: REACTIVITY:1 length does not match SEQPOS
16SFWJ_MCA_0004	16SFWJ_MCA_0004.rdat	421580837	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	D0XContractError: REACTIVITY:1 length does not match SEQPOS
16SFWJ_NMIA_0001	16SFWJ_NMIA_0001.rdat	421580851	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SFWJ_RSQ_0001	16SFWJ_RSQ_0001.rdat	421580850	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SFWJ_STD_0001	16SFWJ_STD_0001.rdat	421580868	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
16SRRNA_H44_0001	16SRRNA_H44_0001.rdat	421580872	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
23SRRNA_H101_0001	23SRRNA_H101_0001.rdat	421580882	data-rna-structures	data-rna-structures	VERIFIED_CC0_RMDB	True	True	PARSE_SUCCESS	
