asset_id	source_url_or_accession	source_accession	asset_name	asset_sha256	parser_version	asset_parse_status	n_profiles	n_records	n_exact_pairs	profile_failure_rows	unique_failure_reason	failure_recoverability	license_status	citation_resolution_status	notes
421580585	15KLIB_2A3_0000	15KLIB_2A3_0000	15KLIB_2A3_0000.rdat	c8722b4e511f31ee9f43687b76e8a291800e40e23dde0bb71b50075234869dce	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	15000	15000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580587	15KLIB_DMS_0000	15KLIB_DMS_0000	15KLIB_DMS_0000.rdat	9d7867bc216b338040c7a687b5506dcc4057e0c15f691969523872ebef019a1e	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	15000	15000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580584	15KREP_2A3_0000	15KREP_2A3_0000	15KREP_2A3_0000.rdat	67c636f7726677f9469b4eb5d5e20568a1dec3ec45c4f12c2a7fa7769cbc7a2a	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	15000	15000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580586	15KREP_2A3_0001	15KREP_2A3_0001	15KREP_2A3_0001.rdat	0a38dcc2b0e7feab2cb429be9e5ed649daf4f8035ff5f2a4f91e6a0c3ff149ee	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	60000	60000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580588	15KREP_DMS_0000	15KREP_DMS_0000	15KREP_DMS_0000.rdat	4bc86286fa1bfcea52e3b584ed4b63ed228aadd5a3aa4324165660d96cf18798	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	15000	15000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580811	15KREP_DMS_0001	15KREP_DMS_0001	15KREP_DMS_0001.rdat	b30e7d1008c7307558c7986710941b160056a67680f0a3e39e33260fb185e35e	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	60000	60000	NOT_RUN	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	UNRESOLVED_PUBLICATION	
421580813	16SFWJ_1M7_0001	16SFWJ_1M7_0001	16SFWJ_1M7_0001.rdat	3c1f226c05ee8129a5e0bdf6a413e61e703a503f1303b1a3923d22ddf8f72af3	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	111	111	110	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	RESOLVED	
421580816	16SFWJ_DMS_0001	16SFWJ_DMS_0001	16SFWJ_DMS_0001.rdat	5e2dad8791874bcce100f33ea81b566861196fb83ef52bee4347754c75241ad9	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_SUCCESS	111	111	110	0	NONE	NOT_APPLICABLE	VERIFIED_CC0_RMDB	RESOLVED	
421580819	16SFWJ_MCA_0000	16SFWJ_MCA_0000	16SFWJ_MCA_0000.rdat	180a797838a9479af3279d3bb858b00c58946a6c0a36de02db5237aa25b9ecb1	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	NOT_RUN	NOT_RUN	NOT_RUN	0	UNPARSEABLE	RECOVERABLE	VERIFIED_CC0_RMDB	RESOLVED	parse_fail:PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS; 39GB canonical count not yet produced (NOT_RUN)
421580828	16SFWJ_MCA_0001	16SFWJ_MCA_0001	16SFWJ_MCA_0001.rdat	c0c0f4c90b65ced17267d68f99891ec3cb50a7686449463f40258b649697e1ab	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	NOT_RUN	NOT_RUN	NOT_RUN	0	UNPARSEABLE	RECOVERABLE	VERIFIED_CC0_RMDB	RESOLVED	parse_fail:PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS; 39GB canonical count not yet produced (NOT_RUN)
421580831	16SFWJ_MCA_0002	16SFWJ_MCA_0002	16SFWJ_MCA_0002.rdat	6cf8539341897cbd16d7c50120e176a11878b60e64fe1dfff94711c9ca496fa2	reactflow_delta.d0x_v2.asset_disposition.v2	PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS	NOT_RUN	NOT_RUN	NOT_RUN	0	UNPARSEABLE	RECOVERABLE	VERIFIED_CC0_RMDB	RESOLVED	parse_fail:PARSE_FAIL_LENGTH_MISMATCH_REACTIVITY_VS_SEQPOS; 39GB canonical count not yet produced (NOT_RUN)
