publication	n_pairs	n_called	nocall_rate	changers_rate	n_with_noise	pos_total	fraction_pos_below_1x_noise
pmid_29446752	2366	2366	0.0000	0.7608	2366	297119	0.4178
pmid_25883046	638	68	0.8934	1.0000	68	12716	0.3746
UNKNOWN_PUBLICATION:GLYCFN	632	0	1.0000		632	0	
pmid_25303992	572	52	0.9091	0.8846	471	7566	0.1495
UNKNOWN_PUBLICATION:MDLOOP	468	0	1.0000		0	0	
pmid_25183835	408	110	0.7304	0.9364	298	32077	0.6605
pmid_24469816	220	220	0.0000	0.5000	110	12321	0.1707
UNKNOWN_PUBLICATION:ADDRSW	213	0	1.0000		213	0	
UNKNOWN_PUBLICATION:RNAPZ6	190	0	1.0000		0	0	
UNKNOWN_PUBLICATION:CL1LIG	128	128	0.0000	0.8828	0	0	
pmid_35982307	127	68	0.4646	1.0000	68	3142	0.0006
UNKNOWN_PUBLICATION:5SRRNA	120	0	1.0000		120	0	
UNKNOWN_PUBLICATION:TRNAPH	78	0	1.0000		78	0	
pub_RNAPuzzle18_daslab	71	71	0.0000	0.9718	0	0	
UNKNOWN_PUBLICATION:HC16M2R	62	62	0.0000	0.0484	62	24614	0.8532
UNKNOWN_PUBLICATION:RNASEP	36	36	0.0000	0.4167	0	0	
UNKNOWN_PUBLICATION:SRPDIV	32	0	1.0000		0	0	
UNKNOWN_PUBLICATION:AGSARNA	24	0	1.0000		0	0	
